status_id,num_likes,first_page_comment,comments_beyond_pageone
163364503715353_1102186126499848,0,0,0
163364503715353_1102159349835859,62,0,4
163364503715353_1101915576526903,21,0,1
163364503715353_1101476626570798,1,3,0
163364503715353_1101214686596992,17,5,0
163364503715353_1101050999946694,30,2,5
163364503715353_1100991576619303,0,2,0
163364503715353_1099948743390253,18,0,7
163364503715353_1099733916745069,0,1,0
163364503715353_1099547703430357,77,2,2
163364503715353_1099466810105113,46,3,13
163364503715353_1099464480105346,27,1,2
163364503715353_1098838320167962,1,1,0
163364503715353_1095632340488560,38,4,7
163364503715353_1097716670280127,0,2,0
163364503715353_1095631747155286,33,9,14
163364503715353_1096910233694104,190,4,14
163364503715353_1097412140310580,0,3,0
163364503715353_1097020773683050,0,1,0
163364503715353_1096925630359231,81,11,3
163364503715353_1095631033822024,53,1,11
163364503715353_1095630657155395,48,0,8
163364503715353_1095884307130030,0,1,0
163364503715353_1095875187130942,0,3,0
163364503715353_1095507237167737,58,12,9
163364503715353_1094830437235417,30,3,10
163364503715353_1094945497223911,0,1,0
163364503715353_1094829330568861,45,1,14
163364503715353_1094853540566440,0,3,0
163364503715353_1094824183902709,59,0,18
163364503715353_1094836370568157,29037,416,8
163364503715353_1094355317282929,0,0,0
163364503715353_1094305920621202,96,8,2
163364503715353_1094176157300845,34,3,8
163364503715353_1094092120642582,0,1,0
163364503715353_182097632169416,0,1,0
163364503715353_1093158474069280,47,4,10
163364503715353_1093376250714169,0,1,0
163364503715353_1093164964068631,0,1,0
163364503715353_1093157800736014,38,2,12
163364503715353_1093091464075981,0,1,0
163364503715353_1092197727498688,0,4,0
163364503715353_1092195747498886,0,1,0
163364503715353_1091828070868987,1,1,0
163364503715353_1091788890872905,0,0,0
163364503715353_1089800937738367,67,5,19
163364503715353_1091673334217794,0,2,0
163364503715353_1091239857594475,0,1,0
163364503715353_1089800584405069,106,5,17
163364503715353_1090105934374534,0,3,0
163364503715353_1089798847738576,44,2,7
163364503715353_1089060404479087,1,1,0
163364503715353_1088499124535215,64,8,12
163364503715353_1087538457964615,0,3,0
163364503715353_1087535747964886,0,3,0
163364503715353_1087287877989673,0,1,0
163364503715353_1087254534659674,65,4,6
163364503715353_1087160451335749,0,1,0
163364503715353_1086459718072489,56,1,16
163364503715353_1085861598132301,58,4,14
163364503715353_1085285828189878,61,5,17
163364503715353_1084669918251469,47,4,9
163364503715353_1084217361630058,0,2,0
163364503715353_1084113848307076,52,1,7
163364503715353_1083694061682388,86,2,5
163364503715353_1083514895033638,44,2,2
163364503715353_1083170485068079,93,10,6
163364503715353_1082856411766153,41,3,10
163364503715353_1082272581824536,53,3,5
163364503715353_1081622575222870,62,5,11
163364503715353_1081034808614980,67,5,4
163364503715353_1157683344263034,1,2,0
163364503715353_1080430842008710,0,0,0
163364503715353_1080052812046513,0,0,0
163364503715353_1079817982069996,0,2,0
163364503715353_1079502678768193,0,0,0
163364503715353_236708223329473,1,0,0
163364503715353_1079355002116294,0,0,0
163364503715353_1079341758784285,141,5,10
163364503715353_1079315058786955,12,0,2
163364503715353_1079287215456406,0,0,0
163364503715353_1078933115491816,0,0,0
163364503715353_1078871492164645,0,0,0
163364503715353_1078785598839901,44,0,3
163364503715353_1078742438844217,0,0,0
163364503715353_1078263865558741,60,12,5
163364503715353_1077831242268670,0,0,0
163364503715353_1077632405621887,5,0,0
163364503715353_1077553558963105,0,0,0
163364503715353_1077454118973049,0,0,0
163364503715353_1077213535663774,0,0,0
