status_id,num_likes,first_page_comment,comments_beyond_pageone
115332808485663_1154494144569519,20270,63,36
115332808485663_1153728664646067,72,18,2
115332808485663_1152962154722718,82,13,5
115332808485663_1152392054779728,62,5,0
115332808485663_1152288011456799,89,8,3
115332808485663_1151614274857506,57030,213,141
115332808485663_1149832748368992,146,20,5
115332808485663_1149827815036152,33913,103,27
115332808485663_1149634661722134,9290,139,567
115332808485663_1148889911796609,76732,474,215
115332808485663_1148306058521661,278,24,6
115332808485663_1147481455270788,48106,150,119
115332808485663_1147496701935930,102,3,0
115332808485663_1147486628603604,88700,371,192
115332808485663_1147485318603735,70,0,0
115332808485663_1147376301947970,3237,33,184
115332808485663_1146368938715373,325,17,5
115332808485663_1144644855554448,240,17,3
115332808485663_1144633115555622,282,13,5
115332808485663_1144463852239215,1564,49,22
115332808485663_1143907398961527,453,29,13
115332808485663_1143359039016363,284,15,4
115332808485663_1142756712409929,253,15,4
115332808485663_1142320159120251,64011,263,141
115332808485663_1140755692610031,274,18,5
115332808485663_1140755015943432,645,28,18
115332808485663_1140366209315646,82270,457,395
115332808485663_1139734022712198,269,17,6
115332808485663_1139298776089056,323,33,7
115332808485663_1139169842768616,36231,202,182
115332808485663_1138639432821657,41418,174,87
115332808485663_1138194692866131,7892,128,378
115332808485663_1136937276325206,190,11,3
115332808485663_1136937119658555,260,8,5
115332808485663_1136932269659040,227,7,6
115332808485663_1136321529720114,358,17,16
115332808485663_1135740516444882,412,23,15
115332808485663_1135221183163482,366,15,16
115332808485663_1134631349889132,279,11,7
115332808485663_1134270049925262,98195,588,252
115332808485663_1133354426683491,258,14,7
115332808485663_1132957046723229,432,26,17
115332808485663_1132605750091692,324,21,13
115332808485663_1132599916758942,293,10,6
115332808485663_1132048166814117,303,22,5
115332808485663_1131482790203988,64868,221,148
115332808485663_1130978273587773,27713,82,70
115332808485663_1130458830306384,69793,272,258
115332808485663_1129070450445222,64587,257,262
115332808485663_1129036930448574,277,7,21
115332808485663_1128780190474248,266,18,9
115332808485663_1128324330519834,599,24,54
115332808485663_1123575960994671,124,6,6
115332808485663_1127122397306694,5555,61,368
115332808485663_1123543240997943,255,17,6
115332808485663_1123545917664342,140,10,2
115332808485663_1123550147663919,383,10,7
115332808485663_1123542230998044,410,14,8
115332808485663_1123024131049854,294212,1082,853
115332808485663_1123537740998493,368,23,5
115332808485663_1123396274345973,57745,319,121
115332808485663_1123307454354855,321,8,5
115332808485663_1122858751066392,56149,275,142
115332808485663_1121574674528133,236,4,14
115332808485663_1121572917861642,564,27,23
115332808485663_1121571154528485,3301,49,263
115332808485663_1121567861195481,365,19,5
115332808485663_1120569024628698,1302,21,77
115332808485663_1120559294629671,411,19,12
115332808485663_1120495271302740,43041,181,121
115332808485663_1120461181306149,279,18,5
115332808485663_1120397964645804,28562,140,88
115332808485663_1119802161372051,263,9,7
115332808485663_1119907768028157,26834,164,72
115332808485663_1119235788095355,228,6,5
115332808485663_1118710978147836,240,15,7
115332808485663_1118692844816316,233,21,9
115332808485663_1116915561660711,289,15,9
115332808485663_1116923164993284,15297,73,52
115332808485663_1116922834993317,15010,72,30
115332808485663_1116914248327509,203,15,7
115332808485663_1116921358326798,12884,75,49
115332808485663_1116920481660219,12423,88,53
115332808485663_1116913128327621,232,17,12
115332808485663_1116955734990027,193,10,5
115332808485663_1116882048330729,3268,36,155
115332808485663_1116426838376250,314,8,15
115332808485663_1116380801714187,2074,48,187
115332808485663_1115866668432267,55499,257,142
115332808485663_1115865905099010,2741,68,122
115332808485663_1115296421822625,224,18,6
115332808485663_1115338438485090,377,27,15
115332808485663_1113016178717316,282,9,14
115332808485663_1114749321877335,67096,347,184
115332808485663_1114115601940707,314,15,8
115332808485663_1113010478717886,2998,41,202
115332808485663_1113006692051598,324,22,8
115332808485663_1112995902052677,3984,102,522
115332808485663_1113005748718359,342,18,15
115332808485663_1112963112055956,2367,32,145
115332808485663_1112453728773561,261,11,5
115332808485663_1111949762157291,67256,255,160
115332808485663_1111317142220553,51947,148,135
115332808485663_1110959232256344,354,7,13
115332808485663_1110533125632288,315,9,9
115332808485663_1110037625681838,379,37,9
115332808485663_1109442569074677,453,40,12
115332808485663_1108852059133728,156257,668,493
115332808485663_1108249589193975,403,25,8
115332808485663_1107756205909980,537,33,17
115332808485663_1107574932594774,143157,546,545
115332808485663_1106933162658951,434,18,13
115332808485663_1106605152691752,385,21,11
115332808485663_1106159639402970,58380,191,189
115332808485663_1106159282736339,1220,26,20
115332808485663_1105426046142996,567,16,6
115332808485663_1104585046227096,162,8,0
115332808485663_1104184929600441,42988,171,143
115332808485663_1103593699659564,48895,210,143
115332808485663_1103103573041910,417,29,15
115332808485663_1101638933188374,19348,88,76
115332808485663_1101618273190440,349,19,11
115332808485663_1101617929857141,18987,72,72
115332808485663_1101166559902278,390,23,11
115332808485663_1101050556580545,20554,216,122
115332808485663_1100260569992877,312,25,8
115332808485663_1099818510037083,27747,131,137
115332808485663_1099688266716774,876,31,160
115332808485663_1099487410070193,613,17,194
115332808485663_1099483173403950,14911,64,61
115332808485663_1098948350124099,316,10,41
115332808485663_1098942490124685,374,25,36
115332808485663_1098937670125167,13596,99,73
115332808485663_1098602590158675,389,8,53
115332808485663_1098592130159721,518,20,75
115332808485663_1098086643543603,1657,42,179
115332808485663_1098080936877507,4344,73,1056
115332808485663_1098079666877634,37657,238,235
115332808485663_1097842743567993,652,25,73
115332808485663_1097829630235971,790,13,85
115332808485663_1097859180233016,23065,111,54
115332808485663_1097528280266106,287,15,10
115332808485663_1097517823600485,977,25,141
115332808485663_1097462923605975,3018,70,480
115332808485663_1097430270275907,35774,210,92
115332808485663_1097190816966519,242,7,5
115332808485663_1097041933648074,1177,47,106
115332808485663_1096994786986122,924,20,135
115332808485663_1096972613655006,31409,241,176
115332808485663_1096628107022790,259,7,6
115332808485663_1096622460356688,763,14,74
115332808485663_1096561553696112,942,29,214
115332808485663_1096533683698899,94,6,0
115332808485663_1096521300366804,26727,159,263
115332808485663_1096140947071506,33787,174,100
115332808485663_1096135167072084,1237,19,303
115332808485663_1096131513739116,1279,20,129
115332808485663_1096109353741332,1422,32,102
115332808485663_1096107037074897,976,31,133
115332808485663_1096105493741718,561,11,107
115332808485663_1096103590408575,32242,150,113
115332808485663_1095395723812695,384,21,28
115332808485663_1095158137169787,279,5,1
115332808485663_1094876387197962,273,27,14
115332808485663_1094436643908603,358,21,16
115332808485663_1094297000589234,473,22,37
115332808485663_1093428610676073,19713,123,254
115332808485663_1093414767344124,33628,211,310
115332808485663_1093400277345573,31692,133,143
115332808485663_1093384777347123,33801,88,139
115332808485663_1093343650684569,32868,91,179
115332808485663_1093330374019230,1220,26,20
115332808485663_1093322387353362,86575,1211,1328
115332808485663_1092942067391394,791,67,33
115332808485663_1092561780762756,343,12,23
115332808485663_1092093747476226,1136,39,111
115332808485663_1091475754204692,704,58,26
115332808485663_1089753574376910,663,48,26
115332808485663_1088644461154488,367,18,8
115332808485663_1088643697821231,115,16,3
115332808485663_1088519047833696,704,48,24
115332808485663_1088174864534781,171,9,1
115332808485663_1088056417879959,361,31,6
115332808485663_1087634844588783,491,22,7
115332808485663_1087284517957149,343,18,9
115332808485663_1086898844662383,1254,68,71
115332808485663_1086302388055362,445,25,15
115332808485663_1085964308089170,297,29,4
115332808485663_1085292394823028,105493,402,207
115332808485663_1085179144834353,605,43,19
115332808485663_1085004124851855,413,15,9
115332808485663_1084996388185962,247,4,0
115332808485663_1084283744923893,1834,53,17
115332808485663_1084296521589282,361,10,11
