status_id,status_message,link_name,status_type,status_link,status_published,num_likes,first_page_comment,comments_beyond_pageone,num_comments,num_shares
278833668796523_1121130401233508,"Enjoy cinematic experience that’ll sweep you off your feet. Thanks to the Dolby Digital Plus Surround Sound, Full HD Display and latest NVIDIA Graphics, the Aspire V3 is one showstopper you can’t let go of! http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1121130401233508/?type=3,3/18/2016 8:20,22,1,1,,
278833668796523_1120360064643875,"Four usage modes, automatic screen orientation, Gorilla Glass Screen. Aspire R11 will change the way you ever look at convenience! Buy now and get FREE Antivirus and Data Recovery Software. http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1120360064643875/?type=3,3/17/2016 6:30,27,2,3,,
278833668796523_1120183997994815,not getting good product & proper service support from acer smart phones advicing to u guys never buy a smart phone of acer,,status,,3/17/2016 0:39,0,1,0,,
278833668796523_1119634754716406,"Up your lifestyle quotient with Aspire V3. Thanks to its Dolby Digital Sound and the latest NVIDIA graphics, it’s one masterpiece you won’t take your eyes off! http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1119634754716406/?type=3,3/16/2016 6:30,24,3,2,,
278833668796523_1118962804783601,"The stunning Aspire R11 laptop by Acer is designed to take your breath away. 4 unique modes – tent, display, notebook & pad – let you switch seamlessly between work & play. Get it on a limited period offer.http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1118962804783601/?type=3,3/15/2016 6:30,36,3,2,,
278833668796523_1118884728124742,"Team,

This is reference ID: 1695890I and still my phone is with them, they said that the motherboard they have ordered to replace was not working so they have ordered for new motherboard.They have already repalced motherboard once.

Almost 15-20 days since my phone is with them. If you can not get the replacement of motherboard and other issue comes up with the phone after fixing it, so why am in not getting the replacement or money back so that I can purchase a new phone.

I am not able to use this phone for more than 60-70 days just trying to fix the issue and phone is there with service centre for these many days. Have I paid the money for keeping my phone with Service centre.
Not sure who the business will work for Acer in India if this is how the service is also company is not at all bothered about the customer and they just want to sell their product thats it. 

Regards,
Susheel",,status,,3/15/2016 3:37,1,1,1,,
278833668796523_1118300651516483,Get life-like clarity with Acer Aspire V3. Its latest NVIDIA graphics and Full HD display make for an experience like no other. http://bit.ly/1Rjqeqo,Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1118300651516483/?type=3,3/14/2016 6:30,28,4,5,,
278833668796523_1118269911519557,"This is what I have experienced since last couple of months.
Everytime they say that they will fix the issue but it's never fixed.
I am really waiting for this thing be escalated to higher level but no response from the higher-ups.
I would say please sort this issue as I am still without my phone even after paying cost for it.",,status,,3/14/2016 5:00,0,1,0,,
278833668796523_1117648891581659,"Want a reason to celebrate? With Acer Aspire F5 laptops, you’ll get many. 
Textile finish, Acer BlueLightShield, faster WiFi, Bluetooth 4.2 AND an attitude of its own! Check it out: http://bit.ly/1Rjqeqo",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1117648891581659/?type=3,3/13/2016 6:30,31,7,4,,
278833668796523_1117019871644561,"In a refreshing way to further the message of energy conservation, a small team from India has made an ingenious auto-rickshaw completely powered by solar energy. 
And to spread the awareness, they’re driving it from Cochin to London by just using solar power! Now that’s what we mean by explore beyond limits. We are proud to contribute to this journey. 

Join us in wishing Tejas : The Solar Tuk Tuk and the team a safe journey across continents and countries spreading the message of energy conservation.",Timeline Photos,photo,https://www.facebook.com/acerindia/photos/a.281637335182823.79672.278833668796523/1117019871644561/?type=3,3/12/2016 6:30,29,3,3,,
278833668796523_1116667145013167,"i m very much upset about the product.
plz dear all don't buy any product of acer especially the tab cum laptop",,status,,3/11/2016 13:27,17,11,0,,
