status_id,num_likes,first_page_comment,comments_beyond_pageone
122366544456362_1359582147401456,0,0,0
122366544456362_1359575657402105,0,0,0
122366544456362_1359560440736960,0,0,0
122366544456362_1359537360739268,0,0,0
122366544456362_1359533610739643,0,0,0
122366544456362_1359523130740691,0,0,0
122366544456362_1359458637413807,1,0,0
122366544456362_1359456790747325,0,0,0
122366544456362_1359417107417960,0,0,0
122366544456362_1359415250751479,0,0,0
122366544456362_1359399044086433,0,0,0
122366544456362_1359361687423502,0,0,0
122366544456362_1358299224196415,8399,51,180
122366544456362_1359319640761040,0,0,0
122366544456362_1359267984099539,1,1,0
122366544456362_1359257734100564,0,0,0
122366544456362_1359254464100891,0,0,0
122366544456362_1359174890775515,1,0,0
122366544456362_1359174874108850,0,0,0
122366544456362_1359174870775517,0,0,0
122366544456362_1358297024196635,14551,40,26
122366544456362_1359129887446682,0,0,0
122366544456362_1359112157448455,1,0,0
122366544456362_1359107284115609,1,1,0
122366544456362_1359096144116723,0,0,0
122366544456362_1359089064117431,0,0,0
122366544456362_1359059550787049,0,0,0
122366544456362_1359059517453719,0,0,0
122366544456362_1359059444120393,0,0,0
122366544456362_1359059417453729,0,0,0
122366544456362_1359059380787066,0,0,0
122366544456362_1359059304120407,0,0,0
122366544456362_1359059230787081,0,0,0
122366544456362_1359058844120453,0,1,0
122366544456362_1359058640787140,0,1,0
122366544456362_1359051860787818,0,1,0
122366544456362_1359044984121839,0,0,0
122366544456362_1359042330788771,1,1,0
122366544456362_1359036810789323,1,2,0
122366544456362_1359028774123460,0,0,0
122366544456362_1359012874125050,35,14,2
122366544456362_1359002020792802,3,4,0
122366544456362_1358944057465265,0,1,0
122366544456362_1358919714134366,0,2,0
122366544456362_1358913460801658,0,1,0
122366544456362_1358912377468433,0,0,0
122366544456362_1358845890808415,0,0,0
122366544456362_1358834194142918,0,1,0
122366544456362_1358831687476502,0,1,0
122366544456362_1358710570821947,1,3,0
122366544456362_1358573494168988,0,0,0
122366544456362_1358294434196894,7714,55,12
122366544456362_1358499210843083,0,1,0
122366544456362_1358497914176546,1,1,0
122366544456362_1358466597513011,0,0,0
122366544456362_1358466547513016,0,0,0
122366544456362_1358464304179907,0,0,0
122366544456362_1358404254185912,1,0,0
122366544456362_1358380877521583,4,5,0
122366544456362_1358366594189678,4,2,0
122366544456362_1358365427523128,2,1,0
122366544456362_1358361627523508,0,0,0
122366544456362_1358361197523551,1,1,0
122366544456362_1358291260863878,3,1,0
122366544456362_1358278804198457,1,1,1
122366544456362_1358269464199391,4,6,0
122366544456362_1358243244202013,2,4,0
122366544456362_1358242597535411,0,1,0
122366544456362_1358242294202108,0,1,0
122366544456362_1358241810868823,0,2,0
122366544456362_1358241604202177,0,1,0
122366544456362_1358119604214377,28640,294,104
122366544456362_1358225437537127,3,5,0
122366544456362_1358169717542699,2,1,0
122366544456362_1358134964212841,1,0,0
122366544456362_1358117734214564,43037,162,54
122366544456362_1358089477550723,0,0,0
122366544456362_1358065500886454,0,1,0
122366544456362_1358065454219792,0,1,0
122366544456362_1358065420886462,0,1,0
122366544456362_1358065370886467,0,1,0
122366544456362_1358065260886478,1,1,0
122366544456362_1358035107556160,0,1,0
122366544456362_1358027427556928,0,0,0
122366544456362_1357985490894455,1,1,0
122366544456362_1357966897562981,3,3,0
122366544456362_1357910974235240,2,1,0
122366544456362_1357901467569524,1,0,0
122366544456362_1357898604236477,2,3,0
